Name,Licenses,Version,Repos
python3-httplib2,BSD-3|GPL-2+|GPL-3+|LGPL-2.1+|MIT|MPL-1.1|MPL-1.1|or|GPL-2+|or|LGPL-2.1+,0.9.2+dfsg-1ubuntu0.1,bionic-updates|now
python3-hyperlink,Expat,17.3.1-2,bionic|now
python3-idna,BSD-3-clause|PSF-2|Unicode,2.6-1,bionic|now
python3-incremental,MIT,16.10.1-3,bionic|now
python3-jinja2,GPL,2.10-1ubuntu0.18.04.1,bionic-updates|bionic-security|now
python3-json-pointer,BSD-3-clauses,1.10-1,bionic|now
python3-jsonpatch,BSD-3-clause,1.19+really1.16-1fakesync1,bionic|now
python3-jsonschema,GPL-2+|MIT,2.6.0-2,bionic|now
python3-jwt,Expat,1.5.3+ds1-1,bionic|now
python3-markupsafe,unknown,1.0-1build1,bionic|now
python3-minimal,GPL-compatible|GPL-compatible|licenses,3.6.7-1~18.04,bionic-updates|now
python3-msgpack,Apache-2.0|GPL-2+,0.5.6-1,bionic|now
python3-neovim,Apache-2.0,0.2.0-1,bionic|now
python3-netifaces,MIT-style,0.10.4-0.1build4,bionic|now
python3-newt:amd64,LGPL-2,0.52.20-1ubuntu1,NULL
python3-oauthlib,BSD-3-clause,2.0.6-1,bionic|now
python3-openssl,Apache|2.0|This|code|is|in|the|public|domain.,17.5.0-1ubuntu1,bionic|now
python3-pam,GPL-2,0.4.2-13.2ubuntu4,bionic|now
python3-pkg-resources,GPL-compatible|GPL-compatible|licenses,39.0.1-2,bionic|now
python3-problem-report,GPL-2+,2.20.9-0ubuntu7.9,bionic-updates|bionic-security|now
python3-pyasn1,BSD-2-clause|GPL-2+,0.4.2-3,bionic|now
python3-pyasn1-modules,BSD-2-Clause|BSD-3-Clause,0.2.1-0.2,bionic|now
python3-requests,Apache,2.18.4-2ubuntu0.1,bionic-updates|bionic-security|now
python3-requests-unixsocket,Apache-2,0.1.5-3,bionic|now
python3-serial,unknown,3.4-2,bionic|now
python3-service-identity,Expat,16.0.0-2,bionic|now
python3-six,Expat,1.11.0-2,bionic|now
python3-software-properties,GPL-2|LGPL-2.1,0.96.24.32.12,bionic-updates|now
python3-systemd,LGPL-2.1+,234-1build1,bionic|now
python3-twisted,unknown,17.9.0-2,bionic|now
